STATE_UT,DISTRICT,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
33,241,256,193,55,24,0,24,94,43,51,169,25,692,20,23660,930,22730,246,314,478,33,1,110,11,217,332,1,0,21,10182,37134
32,241,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,243,2,1,0,2,0,2,0,0,0,0,0,2,0,91,13,78,3,0,0,0,0,1,0,1,2,0,0,0,44,149
10,244,43,22,4,8,0,8,25,15,10,3,6,49,8,5849,80,5769,3,28,93,2,9,49,6,18,2,0,0,4,410,6641
29,245,10,8,0,6,0,6,14,11,3,1,0,7,1,1111,41,1070,6,7,10,1,0,9,1,22,0,0,0,3,236,1453
29,246,6,1,0,1,0,1,3,1,2,0,0,1,1,168,14,154,2,1,0,0,1,1,1,9,0,0,0,5,85,286
17,247,246,193,7,44,0,44,83,41,42,37,2,70,627,822,305,517,1298,68,258,11,42,1923,28,357,2,313,0,758,5232,12421
21,248,694,482,33,245,0,245,116,95,21,104,5,123,1161,1606,207,1399,317,119,144,13,559,2787,14,495,100,510,0,911,4326,14864
26,249,166,117,6,103,0,103,94,78,16,18,0,32,247,346,57,289,442,37,107,2,158,460,15,425,35,107,0,319,1799,5035
15,250,139,64,10,74,0,74,399,384,15,6,0,21,420,575,77,498,728,40,99,14,108,41,0,683,42,15,0,305,2178,5961
12,251,292,117,3,116,0,116,315,259,56,71,2,335,1626,5897,2402,3495,567,188,492,80,99,3206,17,200,40,1652,0,2169,31585,49069
29,252,691,1066,11,791,0,791,792,685,107,4,10,143,2379,4605,1438,3167,114,458,7757,37,110,12004,192,844,16,6060,0,1868,22923,62875
26,253,831,1558,24,414,0,414,370,279,91,158,58,633,1509,1892,414,1478,1243,192,328,2,365,2997,253,2671,157,345,0,1326,7072,24398
16,254,603,421,35,321,0,321,243,148,95,158,8,301,421,891,110,781,1809,126,393,3,129,2712,168,82,2,363,5,383,4989,14566
7,255,41,27,2,40,0,40,10,3,7,5,0,7,87,113,35,78,24,2,18,0,15,534,6,58,6,14,0,80,429,1518
23,256,134,120,10,29,0,29,78,8,70,118,8,74,146,354,52,302,42,17,30,6,33,97,0,28,1,0,0,0,446,1771
23,257,72,42,0,21,0,21,48,10,38,35,1,22,34,194,50,144,3,3,19,11,6,39,0,10,0,5,0,12,169,746
23,258,206,101,27,92,0,92,187,78,109,116,1,86,284,981,236,745,75,22,127,27,63,488,2,151,5,45,0,124,1093,4303
